,0,1,2,3,4
0,1.0,0.1,0.0,0.7,0.7468109339407745
1,1.0,0.1,0.0,0.75,0.7471526195899773
2,1.0,0.1,0.0,0.8,0.7496583143507972
3,1.0,0.1,0.1,0.7,0.7468109339407745
4,1.0,0.1,0.1,0.75,0.7471526195899773
5,1.0,0.1,0.1,0.8,0.7496583143507972
6,1.0,0.1,0.4,0.7,0.7468109339407745
7,1.0,0.1,0.4,0.75,0.7471526195899773
8,1.0,0.1,0.4,0.8,0.7496583143507972
9,3.0,0.1,0.0,0.7,0.7468109339407745
10,3.0,0.1,0.0,0.75,0.7476082004555809
11,3.0,0.1,0.0,0.8,0.7495444191343964
12,3.0,0.1,0.1,0.7,0.7468109339407745
13,3.0,0.1,0.1,0.75,0.7476082004555809
14,3.0,0.1,0.1,0.8,0.7495444191343964
15,3.0,0.1,0.4,0.7,0.7468109339407745
16,3.0,0.1,0.4,0.75,0.7476082004555809
17,3.0,0.1,0.4,0.8,0.7495444191343964
18,5.0,0.1,0.0,0.7,0.7464692482915718
19,5.0,0.1,0.0,0.75,0.7482915717539863
20,5.0,0.1,0.0,0.8,0.7496583143507972
21,5.0,0.1,0.1,0.7,0.7464692482915718
22,5.0,0.1,0.1,0.75,0.7482915717539863
23,5.0,0.1,0.1,0.8,0.7496583143507972
24,5.0,0.1,0.4,0.7,0.7464692482915718
25,5.0,0.1,0.4,0.75,0.7482915717539863
26,5.0,0.1,0.4,0.8,0.7498861047835991
