,0,1,2,3,4,5
0,6.0,0.0,5.0,0.5,0.75,0.21697375125379795
1,6.0,0.0,5.0,0.5,0.85,0.2152027796392482
2,6.0,0.0,5.0,0.65,0.75,0.21433547357740546
3,6.0,0.0,5.0,0.65,0.85,0.21082620676409378
4,6.0,0.0,5.0,0.8,0.75,0.21276615930762252
5,6.0,0.0,5.0,0.8,0.85,0.21125640420609645
6,6.0,0.0,10.0,0.5,0.75,0.2156843840397904
7,6.0,0.0,10.0,0.5,0.85,0.21635443889256092
8,6.0,0.0,10.0,0.65,0.75,0.21251252573923268
9,6.0,0.0,10.0,0.65,0.85,0.21635272651643106
10,6.0,0.0,10.0,0.8,0.75,0.21401094314189983
11,6.0,0.0,10.0,0.8,0.85,0.2125669898570361
12,6.0,0.0,15.0,0.5,0.75,0.22308247238361734
13,6.0,0.0,15.0,0.5,0.85,0.2218830659037985
14,6.0,0.0,15.0,0.65,0.75,0.21917787383432952
15,6.0,0.0,15.0,0.65,0.85,0.2147209869797796
16,6.0,0.0,15.0,0.8,0.75,0.21730054619127953
17,6.0,0.0,15.0,0.8,0.85,0.2157569941364804
18,8.0,0.0,5.0,0.5,0.75,0.19834448771409643
19,8.0,0.0,5.0,0.5,0.85,0.20192717576722702
20,8.0,0.0,5.0,0.65,0.75,0.19858084621845074
21,8.0,0.0,5.0,0.65,0.85,0.1959371224973215
22,8.0,0.0,5.0,0.8,0.75,0.19252348583641982
23,8.0,0.0,5.0,0.8,0.85,0.19423864076308614
24,8.0,0.0,10.0,0.5,0.75,0.2027977811422981
25,8.0,0.0,10.0,0.5,0.85,0.19955407464609393
26,8.0,0.0,10.0,0.65,0.75,0.1988506696596879
27,8.0,0.0,10.0,0.65,0.85,0.19926745176874167
28,8.0,0.0,10.0,0.8,0.75,0.19853700642648037
29,8.0,0.0,10.0,0.8,0.85,0.19690665754437042
30,8.0,0.0,15.0,0.5,0.75,0.20740342178107077
31,8.0,0.0,15.0,0.5,0.85,0.20356474483687806
32,8.0,0.0,15.0,0.65,0.75,0.20265374426348337
33,8.0,0.0,15.0,0.65,0.85,0.20483975675304406
34,8.0,0.0,15.0,0.8,0.75,0.20098022243884497
35,8.0,0.0,15.0,0.8,0.85,0.19918170608968588
36,10.0,0.0,5.0,0.5,0.75,0.1903141003352959
37,10.0,0.0,5.0,0.5,0.85,0.18728512600730918
38,10.0,0.0,5.0,0.65,0.75,0.1914680808341704
39,10.0,0.0,5.0,0.65,0.85,0.18817603466117117
40,10.0,0.0,5.0,0.8,0.75,0.1869350825501253
41,10.0,0.0,5.0,0.8,0.85,0.18788700709931544
42,10.0,0.0,10.0,0.5,0.75,0.19917451011651627
43,10.0,0.0,10.0,0.5,0.85,0.19789730863877708
44,10.0,0.0,10.0,0.65,0.75,0.18997726401963716
45,10.0,0.0,10.0,0.65,0.85,0.19589321108558583
46,10.0,0.0,10.0,0.8,0.75,0.19027494259395392
47,10.0,0.0,10.0,0.8,0.85,0.19213621110492296
48,10.0,0.0,15.0,0.5,0.75,0.20143185325447152
49,10.0,0.0,15.0,0.5,0.85,0.20037781453156
50,10.0,0.0,15.0,0.65,0.75,0.19838620476920923
51,10.0,0.0,15.0,0.65,0.85,0.1951386943274288
52,10.0,0.0,15.0,0.8,0.75,0.19308726825178513
53,10.0,0.0,15.0,0.8,0.85,0.19531668866241175
