run desc (10 fold CV),,
"T2_V8, T2_V12, T2_V11, T1_V17, T2_V3",3.7688,0.3853
"T2_V8, T2_V12, T2_V11, T1_V17",3.7696,0.3849
"T2_V8, T2_V12, T2_V11",3.7660,0.3861
"T2_V8, T2_V12",3.7651,0.3872
T2_V8,3.7649,0.3874
full,3.7659,0.3865
T2_V12,3.7654,0.3868
"T2_V12, T1_V16",3.7681,0.3833
"T2_V8, T2_V17",3.7659,0.3870
,,
,,
run desc (4 fold CV),,
T2_V10,"3.77140043,",0.3859
"T2_V10, T1_V13","3.76961411,",0.3869
"T2_V10, T1_V13, T2_V5","3.77038114,",0.3869
