,0,1,2,3,4,5
0,2.0,0.7,1.0,0.6,3.7919822941648276,0.3674030646773274
1,2.0,0.7,1.0,0.7,3.7916283801493114,0.3689846216008882
2,2.0,0.7,1.0,0.8,3.7918268304644,0.367734233620418
3,2.0,0.7,10.0,0.6,3.795141836882003,0.3655606580942476
4,2.0,0.7,10.0,0.7,3.788216245211764,0.3692935947497184
5,2.0,0.7,10.0,0.8,3.7905077373238263,0.3686457456828825
6,2.0,0.7,20.0,0.6,3.7914935017911455,0.36751310699821876
7,2.0,0.7,20.0,0.7,3.7937239095938073,0.36732340875389713
8,2.0,0.7,20.0,0.8,3.792431662779461,0.3683127955914606
9,2.0,0.7,30.0,0.6,3.792059499857357,0.36712140453321507
10,2.0,0.7,30.0,0.7,3.7878612892407277,0.3696174890791327
11,2.0,0.7,30.0,0.8,3.7880757357827757,0.36980664498605204
12,2.0,0.8,1.0,0.6,3.794503018152289,0.36663277739649625
13,2.0,0.8,1.0,0.7,3.793964774603788,0.36654269748879437
14,2.0,0.8,1.0,0.8,3.793382936525062,0.3678180768322644
15,2.0,0.8,10.0,0.6,3.793943917713983,0.3666965470028719
16,2.0,0.8,10.0,0.7,3.7906251339955808,0.3687754157708365
17,2.0,0.8,10.0,0.8,3.789865365046773,0.3692885520700209
18,2.0,0.8,20.0,0.6,3.7918054503479914,0.36712353330527603
19,2.0,0.8,20.0,0.7,3.7892098469545763,0.3693885462854276
20,2.0,0.8,20.0,0.8,3.7886538455195256,0.37022671811452174
21,2.0,0.8,30.0,0.6,3.7925204532557215,0.3672173424285687
22,2.0,0.8,30.0,0.7,3.7917916349628586,0.36754240244401176
23,2.0,0.8,30.0,0.8,3.7906819800990905,0.3679161594481936
24,5.0,0.7,1.0,0.6,3.801538264689395,0.3654133633753686
25,5.0,0.7,1.0,0.7,3.7994570384505653,0.3667581297176311
26,5.0,0.7,1.0,0.8,3.799064961891355,0.3671938144936307
27,5.0,0.7,10.0,0.6,3.800045160284653,0.36358459198325715
28,5.0,0.7,10.0,0.7,3.7955923220758048,0.3652245536094674
29,5.0,0.7,10.0,0.8,3.7951065571594524,0.36792820108839486
30,5.0,0.7,20.0,0.6,3.797285311140814,0.3633773623750595
31,5.0,0.7,20.0,0.7,3.7920040216518704,0.3678243100108586
32,5.0,0.7,20.0,0.8,3.7949386024222567,0.36691599007290787
33,5.0,0.7,30.0,0.6,3.7909368199801188,0.3669429546053017
34,5.0,0.7,30.0,0.7,3.789182645510942,0.36909466985707495
35,5.0,0.7,30.0,0.8,3.7885295271536075,0.3682996829852682
36,5.0,0.8,1.0,0.6,3.8041696580845925,0.3646738524066906
37,5.0,0.8,1.0,0.7,3.805617852182288,0.36404765131278993
38,5.0,0.8,1.0,0.8,3.7964766508026644,0.3671128687417029
39,5.0,0.8,10.0,0.6,3.8003767195826184,0.36300426578603306
40,5.0,0.8,10.0,0.7,3.8001829184533102,0.364536306619413
41,5.0,0.8,10.0,0.8,3.7964168363340782,0.36524091893541644
42,5.0,0.8,20.0,0.6,3.7953887571520726,0.36399424281097803
43,5.0,0.8,20.0,0.7,3.792634518326158,0.3673715421879003
44,5.0,0.8,20.0,0.8,3.7868826734130208,0.3703974409996001
45,5.0,0.8,30.0,0.6,3.7936630254665897,0.36507656208899014
46,5.0,0.8,30.0,0.7,3.7919969814894983,0.36720678628064546
47,5.0,0.8,30.0,0.8,3.7916583686034953,0.36987045454069784
48,10.0,0.7,1.0,0.6,3.883431843074754,0.3179928724671042
49,10.0,0.7,1.0,0.7,3.879268636677473,0.32099085320603254
50,10.0,0.7,1.0,0.8,3.866366427444215,0.3281754950799165
51,10.0,0.7,10.0,0.6,3.861714613792847,0.32768699505102933
52,10.0,0.7,10.0,0.7,3.8542998161437003,0.332941383799125
53,10.0,0.7,10.0,0.8,3.8499934330137853,0.3363785953654396
54,10.0,0.7,20.0,0.6,3.8396537755046554,0.33811391867926954
55,10.0,0.7,20.0,0.7,3.8356852093697347,0.34169035657504593
56,10.0,0.7,20.0,0.8,3.831361817678623,0.3434521061168393
57,10.0,0.7,30.0,0.6,3.8325929922954534,0.34185443122412434
58,10.0,0.7,30.0,0.7,3.8307697606715165,0.34281791700592174
59,10.0,0.7,30.0,0.8,3.8237139577779917,0.34753252547507435
60,10.0,0.8,1.0,0.6,3.888127075250053,0.3205060283904463
61,10.0,0.8,1.0,0.7,3.873573040566676,0.326023868281229
62,10.0,0.8,1.0,0.8,3.868494307163566,0.32836657764088006
63,10.0,0.8,10.0,0.6,3.8631990147502577,0.32669457430271376
64,10.0,0.8,10.0,0.7,3.8555219151983877,0.3302274212038329
65,10.0,0.8,10.0,0.8,3.853689545544826,0.33504881179021617
66,10.0,0.8,20.0,0.6,3.848640053215717,0.3355690564016078
67,10.0,0.8,20.0,0.7,3.8407777204072113,0.33870150625895035
68,10.0,0.8,20.0,0.8,3.8441016944439905,0.33857024592242185
69,10.0,0.8,30.0,0.6,3.8358856899433253,0.3413205735585435
70,10.0,0.8,30.0,0.7,3.8270176282359647,0.3446161306793471
71,10.0,0.8,30.0,0.8,3.8272022907482377,0.34590863529225485
