,0,1,2,3,4,5,6
0,3.0,0.0,10.0,0.5,0.7,3.7821904572149414,0.37356650409428666
1,3.0,0.0,10.0,0.5,0.85,3.7804356470755787,0.3748342479494757
2,3.0,0.0,10.0,0.7,0.7,3.7824448795007055,0.37490796275171484
3,3.0,0.0,10.0,0.7,0.85,3.787078388402489,0.3721210860220131
4,3.0,0.0,10.0,0.8,0.7,3.78311194199398,0.3735897867136999
5,3.0,0.0,10.0,0.8,0.85,3.7844124259647933,0.37312369147004826
6,3.0,0.0,25.0,0.5,0.7,3.7823552595874355,0.3736837026138931
7,3.0,0.0,25.0,0.5,0.85,3.779621928242889,0.3751516975062442
8,3.0,0.0,25.0,0.7,0.7,3.7789531706850163,0.37565966325727596
9,3.0,0.0,25.0,0.7,0.85,3.778094583097348,0.37531001147182264
10,3.0,0.0,25.0,0.8,0.7,3.779349038580891,0.3749221820422889
11,3.0,0.0,25.0,0.8,0.85,3.7804732622503074,0.37485754528586623
12,3.0,0.0,40.0,0.5,0.7,3.780688270063904,0.3742208041225467
13,3.0,0.0,40.0,0.5,0.85,3.7820859707094883,0.37436994020324543
14,3.0,0.0,40.0,0.7,0.7,3.7816492630114293,0.37542099082397995
15,3.0,0.0,40.0,0.7,0.85,3.7829255007280365,0.3745067017467839
16,3.0,0.0,40.0,0.8,0.7,3.7821654823406767,0.37210871697671905
17,3.0,0.0,40.0,0.8,0.85,3.77831508848582,0.37592150664603696
18,7.0,0.0,10.0,0.5,0.7,3.7792850809507357,0.3763611174272168
19,7.0,0.0,10.0,0.5,0.85,3.7803407532097673,0.37531856634261285
20,7.0,0.0,10.0,0.7,0.7,3.780684756121298,0.3764966752218922
21,7.0,0.0,10.0,0.7,0.85,3.7743025203901563,0.3789941663160942
22,7.0,0.0,10.0,0.8,0.7,3.780170039915226,0.37606686838651204
23,7.0,0.0,10.0,0.8,0.85,3.7870339177437042,0.37593861465824036
24,7.0,0.0,25.0,0.5,0.7,3.7729114663911716,0.38036402981983697
25,7.0,0.0,25.0,0.5,0.85,3.778193670276974,0.37829321245880027
26,7.0,0.0,25.0,0.7,0.7,3.7804786288776544,0.37746396973752505
27,7.0,0.0,25.0,0.7,0.85,3.7835140174098116,0.37530202789841904
28,7.0,0.0,25.0,0.8,0.7,3.77700672669755,0.3782562544551286
29,7.0,0.0,25.0,0.8,0.85,3.781044437333564,0.37666984548511323
30,7.0,0.0,40.0,0.5,0.7,3.776517572291952,0.37928332432808476
31,7.0,0.0,40.0,0.5,0.85,3.7760038917302516,0.3792663403283564
32,7.0,0.0,40.0,0.7,0.7,3.776007904825666,0.3774005446965964
33,7.0,0.0,40.0,0.7,0.85,3.775845314734552,0.3776415828935037
34,7.0,0.0,40.0,0.8,0.7,3.7767306242654537,0.3779265979081847
35,7.0,0.0,40.0,0.8,0.85,3.774876238822283,0.37930819396255405
36,10.0,0.0,10.0,0.5,0.7,3.783033046136918,0.3734389881795003
37,10.0,0.0,10.0,0.5,0.85,3.789944996852009,0.3703292975741823
38,10.0,0.0,10.0,0.7,0.7,3.790281551190597,0.3717107944749072
39,10.0,0.0,10.0,0.7,0.85,3.790443402324481,0.37285112144764143
40,10.0,0.0,10.0,0.8,0.7,3.7882542763591656,0.37118320311798253
41,10.0,0.0,10.0,0.8,0.85,3.7940656061420492,0.3703480714179573
42,10.0,0.0,25.0,0.5,0.7,3.7769489643374805,0.37629083704165095
43,10.0,0.0,25.0,0.5,0.85,3.7803925607706956,0.37634030411105435
44,10.0,0.0,25.0,0.7,0.7,3.787630058062625,0.37258027367838575
45,10.0,0.0,25.0,0.7,0.85,3.7793886994718835,0.37453568415786115
46,10.0,0.0,25.0,0.8,0.7,3.7848336959547653,0.3748752774676429
47,10.0,0.0,25.0,0.8,0.85,3.781282656885245,0.37531398635775454
48,10.0,0.0,40.0,0.5,0.7,3.777816615772084,0.3771847936852981
49,10.0,0.0,40.0,0.5,0.85,3.7783302435509767,0.3763173327643365
50,10.0,0.0,40.0,0.7,0.7,3.7791788019188584,0.37748393552499576
51,10.0,0.0,40.0,0.7,0.85,3.7787666065945604,0.37592767651605463
52,10.0,0.0,40.0,0.8,0.7,3.78175323182826,0.37405094243729514
53,10.0,0.0,40.0,0.8,0.85,3.77569517155501,0.37740157026197513
