,0,1,2,3,4
0,3.0,0.1,0.0,0.75,3.7088797176767714
1,3.0,0.1,0.0,0.8,3.7069744194089416
2,3.0,0.1,0.0,0.85,3.706333049544987
3,3.0,0.1,0.0,0.9,3.7023429968988752
4,3.0,0.1,0.001,0.75,3.708879723477404
5,3.0,0.1,0.001,0.8,3.706974338310245
6,3.0,0.1,0.001,0.85,3.706333005715836
7,3.0,0.1,0.001,0.9,3.7023429725458223
8,3.0,0.1,0.01,0.75,3.708879833614267
9,3.0,0.1,0.01,0.8,3.7068773498248473
10,3.0,0.1,0.01,0.85,3.7063324480159054
11,3.0,0.1,0.01,0.9,3.7023427694950253
12,3.0,0.1,0.1,0.75,3.70888109363916
13,3.0,0.1,0.1,0.8,3.706871654370423
14,3.0,0.1,0.1,0.85,3.7061344936194174
15,3.0,0.1,0.1,0.9,3.7085364942624537
16,5.0,0.1,0.0,0.75,3.698082040024701
17,5.0,0.1,0.0,0.8,3.696579629562244
18,5.0,0.1,0.0,0.85,3.7083724609629902
19,5.0,0.1,0.0,0.9,3.7103336626716428
20,5.0,0.1,0.001,0.75,3.698081537961701
21,5.0,0.1,0.001,0.8,3.696579362771578
22,5.0,0.1,0.001,0.85,3.7083720824343653
23,5.0,0.1,0.001,0.9,3.7103332345927016
24,5.0,0.1,0.01,0.75,3.698227775414423
25,5.0,0.1,0.01,0.8,3.6965766775791833
26,5.0,0.1,0.01,0.85,3.707796827664501
27,5.0,0.1,0.01,0.9,3.709867903430234
28,5.0,0.1,0.1,0.75,3.693961095499942
29,5.0,0.1,0.1,0.8,3.7020050128742925
30,5.0,0.1,0.1,0.85,3.7104950317538177
31,5.0,0.1,0.1,0.9,3.709220553450434
32,7.0,0.1,0.0,0.75,3.738829190798033
33,7.0,0.1,0.0,0.8,3.7236473758850646
34,7.0,0.1,0.0,0.85,3.7231307691543347
35,7.0,0.1,0.0,0.9,3.731918993109553
36,7.0,0.1,0.001,0.75,3.730162080145172
37,7.0,0.1,0.001,0.8,3.723646493921301
38,7.0,0.1,0.001,0.85,3.7241592191652657
39,7.0,0.1,0.001,0.9,3.731917445497781
40,7.0,0.1,0.01,0.75,3.716295619584235
41,7.0,0.1,0.01,0.8,3.7358077166298838
42,7.0,0.1,0.01,0.85,3.7244560241117908
43,7.0,0.1,0.01,0.9,3.7400676917981075
44,7.0,0.1,0.1,0.75,3.72425675680067
45,7.0,0.1,0.1,0.8,3.739359760968778
46,7.0,0.1,0.1,0.85,3.7278341765701164
47,7.0,0.1,0.1,0.9,3.709134047993834
48,9.0,0.1,0.0,0.75,3.760098879334632
49,9.0,0.1,0.0,0.8,3.7366279312623183
50,9.0,0.1,0.0,0.85,3.7618702589718063
51,9.0,0.1,0.0,0.9,3.7616809080469467
52,9.0,0.1,0.001,0.75,3.750791849855553
53,9.0,0.1,0.001,0.8,3.740240089317386
54,9.0,0.1,0.001,0.85,3.750744783755957
55,9.0,0.1,0.001,0.9,3.751963744682538
56,9.0,0.1,0.01,0.75,3.7799700096093027
57,9.0,0.1,0.01,0.8,3.724050621778312
58,9.0,0.1,0.01,0.85,3.760691138279512
59,9.0,0.1,0.01,0.9,3.752105927752464
60,9.0,0.1,0.1,0.75,3.7708653822672416
61,9.0,0.1,0.1,0.8,3.7315024365564
62,9.0,0.1,0.1,0.85,3.7587531757738413
63,9.0,0.1,0.1,0.9,3.7361690194768893
64,11.0,0.1,0.0,0.75,3.804824596764912
65,11.0,0.1,0.0,0.8,3.8257776493600066
66,11.0,0.1,0.0,0.85,3.7952115931584625
67,11.0,0.1,0.0,0.9,3.805676756325798
68,11.0,0.1,0.001,0.75,3.7818233537941413
69,11.0,0.1,0.001,0.8,3.8326803172140202
70,11.0,0.1,0.001,0.85,3.8162776566198486
71,11.0,0.1,0.001,0.9,3.79538599666245
72,11.0,0.1,0.01,0.75,3.7946313474469076
73,11.0,0.1,0.01,0.8,3.8197458956649326
74,11.0,0.1,0.01,0.85,3.8044984714922445
75,11.0,0.1,0.01,0.9,3.7940019005361405
76,11.0,0.1,0.1,0.75,3.7899284082600686
77,11.0,0.1,0.1,0.8,3.8020944768850518
78,11.0,0.1,0.1,0.85,3.8040313301396647
79,11.0,0.1,0.1,0.9,3.822800725155929
80,15.0,0.1,0.0,0.75,3.8559711341355203
81,15.0,0.1,0.0,0.8,3.8911170181329124
82,15.0,0.1,0.0,0.85,3.8630254153041284
83,15.0,0.1,0.0,0.9,3.813869070767795
84,15.0,0.1,0.001,0.75,3.871466783687734
85,15.0,0.1,0.001,0.8,3.881617728842335
86,15.0,0.1,0.001,0.85,3.8520838465557556
87,15.0,0.1,0.001,0.9,3.8339650616771
88,15.0,0.1,0.01,0.75,3.8858230421474027
89,15.0,0.1,0.01,0.8,3.84926485231698
90,15.0,0.1,0.01,0.85,3.8645774663085586
