,0,1,2,3,4,5
0,1.0,0.0,1.0,0.5,3.8067913045754604,0.2909041928903841
1,1.0,0.0,1.0,0.6,3.8102245284460103,0.2873880153344678
2,1.0,0.0,1.0,0.7,3.8107383725209836,0.2866017843231722
3,1.0,0.0,1.0,0.8,3.813134942952771,0.28417374151786606
4,1.0,0.0,1.0,0.9,3.8135923313056863,0.2807920993152791
5,1.0,0.0,2.0,0.5,3.8067913045754604,0.2909041928903841
6,1.0,0.0,2.0,0.6,3.8102245284460103,0.2873880153344678
7,1.0,0.0,2.0,0.7,3.8107383725209836,0.2866017843231722
8,1.0,0.0,2.0,0.8,3.813134942952771,0.28417374151786606
9,1.0,0.0,2.0,0.9,3.8135923313056863,0.2807920993152791
10,1.0,0.0,3.0,0.5,3.8067913045754604,0.2909041928903841
11,1.0,0.0,3.0,0.6,3.8102245284460103,0.2873880153344678
12,1.0,0.0,3.0,0.7,3.8107383725209836,0.2866017843231722
13,1.0,0.0,3.0,0.8,3.813134942952771,0.28417374151786606
14,1.0,0.0,3.0,0.9,3.8135923313056863,0.2807920993152791
15,1.0,0.0,5.0,0.5,3.8067913045754604,0.2909041928903841
16,1.0,0.0,5.0,0.6,3.8102245284460103,0.2873880153344678
17,1.0,0.0,5.0,0.7,3.8107383725209836,0.2866017843231722
18,1.0,0.0,5.0,0.8,3.813134942952771,0.28417374151786606
19,1.0,0.0,5.0,0.9,3.8135923313056863,0.2807920993152791
20,1.0,0.0,7.0,0.5,3.8067913045754604,0.2909041928903841
21,1.0,0.0,7.0,0.6,3.8102245284460103,0.2873880153344678
22,1.0,0.0,7.0,0.7,3.8107383725209836,0.2866017843231722
23,1.0,0.0,7.0,0.8,3.813134942952771,0.28417374151786606
24,1.0,0.0,7.0,0.9,3.8135923313056863,0.2807920993152791
25,1.0,0.0,10.0,0.5,3.8067913045754604,0.2909041928903841
26,1.0,0.0,10.0,0.6,3.8102245284460103,0.2873880153344678
27,1.0,0.0,10.0,0.7,3.8107383725209836,0.2866017843231722
28,1.0,0.0,10.0,0.8,3.813134942952771,0.28417374151786606
29,1.0,0.0,10.0,0.9,3.8135923313056863,0.2807920993152791
30,1.0,0.01,1.0,0.5,3.8067914440745465,0.2909027514401699
31,1.0,0.01,1.0,0.6,3.8102246394818073,0.2873854527563091
32,1.0,0.01,1.0,0.7,3.8107384650323035,0.2866013038397675
33,1.0,0.01,1.0,0.8,3.8131349971281536,0.28417374151786606
34,1.0,0.01,1.0,0.9,3.8135924202495124,0.2807920993152791
