,0,1,2,3,4,5,6
49,5.0,0.5,10.0,0.75,0.8,3.77944801299935,0.375762946650367
50,5.0,0.5,10.0,0.75,0.85,3.7799697658217237,0.3769331988077609
51,5.0,0.5,10.0,0.8,0.75,3.7802453031672467,0.3770950728140937
52,5.0,0.5,10.0,0.8,0.8,3.7815947636116927,0.3760183484103228
53,5.0,0.5,10.0,0.8,0.85,3.7744202171304306,0.3789806158175604
54,5.0,0.5,25.0,0.7,0.75,3.7769649625585906,0.37635916709491846
55,5.0,0.5,25.0,0.7,0.8,3.777594525881581,0.37834910389282234
56,5.0,0.5,25.0,0.7,0.85,3.777895339329016,0.37743148908086316
57,5.0,0.5,25.0,0.75,0.75,3.776695087126272,0.3776675951582469
58,5.0,0.5,25.0,0.75,0.8,3.779191864123259,0.3770998989597547
59,5.0,0.5,25.0,0.75,0.85,3.784176217994165,0.3748303701079922
60,5.0,0.5,25.0,0.8,0.75,3.7774673673249644,0.37805327194188754
61,5.0,0.5,25.0,0.8,0.8,3.7806139189332217,0.3768527433609026
62,5.0,0.5,25.0,0.8,0.85,3.784224929882412,0.3768293188957836
63,5.0,0.5,50.0,0.7,0.75,3.7768665886859383,0.3782929406634965
64,5.0,0.5,50.0,0.7,0.8,3.7747097375664502,0.3791896013583701
65,5.0,0.5,50.0,0.7,0.85,3.77398074172165,0.37934643806553026
66,5.0,0.5,50.0,0.75,0.75,3.7761563814980073,0.37740706395150964
67,5.0,0.5,50.0,0.75,0.8,3.777273933204699,0.3792195394410117
68,5.0,0.5,50.0,0.75,0.85,3.7767068257902254,0.37743760018264305
69,5.0,0.5,50.0,0.8,0.75,3.773658049820094,0.37910009228629216
70,5.0,0.5,50.0,0.8,0.8,3.7804050161201204,0.3752187852156538
71,5.0,0.5,50.0,0.8,0.85,3.7747344966580263,0.37747519760454534
72,5.0,5.0,5.0,0.7,0.75,3.7835203987033976,0.37605287633184475
73,5.0,5.0,5.0,0.7,0.8,3.781382905224686,0.3756392427946313
74,5.0,5.0,5.0,0.7,0.85,3.7799453484962364,0.37662059059348496
75,5.0,5.0,5.0,0.75,0.75,3.778436648124849,0.37723729485425045
76,5.0,5.0,5.0,0.75,0.8,3.78531745675466,0.3755608103319842
77,5.0,5.0,5.0,0.75,0.85,3.7785000648059768,0.3776172930409428
78,5.0,5.0,5.0,0.8,0.75,3.781425069684338,0.37779972452073474
79,5.0,5.0,5.0,0.8,0.8,3.7793509881250946,0.3785138588746376
80,5.0,5.0,5.0,0.8,0.85,3.7815424132936553,0.3769825338764821
81,5.0,5.0,10.0,0.7,0.75,3.7765039248159193,0.37878660512605433
82,5.0,5.0,10.0,0.7,0.8,3.782576287946881,0.37629474074607244
83,5.0,5.0,10.0,0.7,0.85,3.778459174368039,0.37732154489852276
84,5.0,5.0,10.0,0.75,0.75,3.7801292728652847,0.37811408277818837
85,5.0,5.0,10.0,0.75,0.8,3.779524228640224,0.3777559093524756
86,5.0,5.0,10.0,0.75,0.85,3.7801884330813578,0.3780408130518049
87,5.0,5.0,10.0,0.8,0.75,3.782069903935265,0.37809798413356804
88,5.0,5.0,10.0,0.8,0.8,3.78589512030269,0.3751882488588699
89,5.0,5.0,10.0,0.8,0.85,3.7842491447052495,0.3757098209099059
90,5.0,5.0,25.0,0.7,0.75,3.7795417208365265,0.37667352865903364
91,5.0,5.0,25.0,0.7,0.8,3.774844303063925,0.3773509689178329
92,5.0,5.0,25.0,0.7,0.85,3.778230135711855,0.37545067747820104
